  3 14  9 11  5  4  8  2 13 12  6  7 10  1 15  0 , 0 0 0 1
  3 14  9 11  5  4  8  2 13 12  6  0 10  1 15  7 , 1 0 0 0
  3 14  9 11  5  4  8  2 13 12  0  6 10  1 15  7 , 1 0 0 0
  3 14  9 11  5  4  8  2 13  0 12  6 10  1 15  7 , 0 1 0 0
  3 14  9 11  5  4  8  2 13  1 12  6 10  0 15  7 , 1 0 0 0
  3 14  9 11  5  4  8  2 13  1 12  6  0 10 15  7 , 0 0 0 1
  3 14  9 11  5  4  8  2  0  1 12  6 13 10 15  7 , 0 0 0 1
  3 14  9 11  0  4  8  2  5  1 12  6 13 10 15  7 , 0 0 1 0
  3 14  9 11  4  0  8  2  5  1 12  6 13 10 15  7 , 0 1 0 0
  3 14  9 11  4  1  8  2  5  0 12  6 13 10 15  7 , 0 0 1 0
  3 14  9 11  4  1  8  2  5 12  0  6 13 10 15  7 , 0 0 0 1
  3 14  9 11  4  1  0  2  5 12  8  6 13 10 15  7 , 1 0 0 0
  3 14  9 11  4  0  1  2  5 12  8  6 13 10 15  7 , 0 0 0 1
  3  0  9 11  4 14  1  2  5 12  8  6 13 10 15  7 , 1 0 0 0
  0  3  9 11  4 14  1  2  5 12  8  6 13 10 15  7 , 0 1 0 0
  4  3  9 11  0 14  1  2  5 12  8  6 13 10 15  7 , 0 1 0 0
  4  3  9 11  5 14  1  2  0 12  8  6 13 10 15  7 , 0 0 1 0
  4  3  9 11  5 14  1  2 12  0  8  6 13 10 15  7 , 0 0 0 1
  4  3  9 11  5  0  1  2 12 14  8  6 13 10 15  7 , 0 0 1 0
  4  3  9 11  5  1  0  2 12 14  8  6 13 10 15  7 , 0 0 0 1
  4  3  0 11  5  1  9  2 12 14  8  6 13 10 15  7 , 1 0 0 0
  4  0  3 11  5  1  9  2 12 14  8  6 13 10 15  7 , 0 1 0 0
  4  1  3 11  5  0  9  2 12 14  8  6 13 10 15  7 , 0 0 1 0
  4  1  3 11  5  9  0  2 12 14  8  6 13 10 15  7 , 0 0 1 0
  4  1  3 11  5  9  2  0 12 14  8  6 13 10 15  7 , 0 0 0 1
  4  1  3  0  5  9  2 11 12 14  8  6 13 10 15  7 , 1 0 0 0
  4  1  0  3  5  9  2 11 12 14  8  6 13 10 15  7 , 0 1 0 0
  4  1  2  3  5  9  0 11 12 14  8  6 13 10 15  7 , 0 0 1 0
  4  1  2  3  5  9 11  0 12 14  8  6 13 10 15  7 , 0 1 0 0
  4  1  2  3  5  9 11  6 12 14  8  0 13 10 15  7 , 0 1 0 0
  4  1  2  3  5  9 11  6 12 14  8  7 13 10 15  0 , 1 0 0 0
  4  1  2  3  5  9 11  6 12 14  8  7 13 10  0 15 , 1 0 0 0
  4  1  2  3  5  9 11  6 12 14  8  7 13  0 10 15 , 0 0 0 1
  4  1  2  3  5  9 11  6 12  0  8  7 13 14 10 15 , 0 0 1 0
  4  1  2  3  5  9 11  6 12  8  0  7 13 14 10 15 , 0 0 0 1
  4  1  2  3  5  9  0  6 12  8 11  7 13 14 10 15 , 0 0 1 0
  4  1  2  3  5  9  6  0 12  8 11  7 13 14 10 15 , 0 1 0 0
  4  1  2  3  5  9  6  7 12  8 11  0 13 14 10 15 , 1 0 0 0
  4  1  2  3  5  9  6  7 12  8  0 11 13 14 10 15 , 0 1 0 0
  4  1  2  3  5  9  6  7 12  8 10 11 13 14  0 15 , 1 0 0 0
  4  1  2  3  5  9  6  7 12  8 10 11 13  0 14 15 , 1 0 0 0
  4  1  2  3  5  9  6  7 12  8 10 11  0 13 14 15 , 0 0 0 1
  4  1  2  3  5  9  6  7  0  8 10 11 12 13 14 15 , 0 0 1 0
  4  1  2  3  5  9  6  7  8  0 10 11 12 13 14 15 , 0 0 0 1
  4  1  2  3  5  0  6  7  8  9 10 11 12 13 14 15 , 1 0 0 0
  4  1  2  3  0  5  6  7  8  9 10 11 12 13 14 15 , 0 0 0 1
