  7  3 14 13  4  1 10  8  5 12  9 11  2 15  6  0 , 1 0 0 0
  7  3 14 13  4  1 10  8  5 12  9 11  2 15  0  6 , 1 0 0 0
  7  3 14 13  4  1 10  8  5 12  9 11  2  0 15  6 , 0 0 0 1
  7  3 14 13  4  1 10  8  5  0  9 11  2 12 15  6 , 0 0 1 0
  7  3 14 13  4  1 10  8  5  9  0 11  2 12 15  6 , 0 0 0 1
  7  3 14 13  4  1  0  8  5  9 10 11  2 12 15  6 , 0 0 0 1
  7  3  0 13  4  1 14  8  5  9 10 11  2 12 15  6 , 1 0 0 0
  7  0  3 13  4  1 14  8  5  9 10 11  2 12 15  6 , 1 0 0 0
  0  7  3 13  4  1 14  8  5  9 10 11  2 12 15  6 , 0 1 0 0
  4  7  3 13  0  1 14  8  5  9 10 11  2 12 15  6 , 0 1 0 0
  4  7  3 13  5  1 14  8  0  9 10 11  2 12 15  6 , 0 1 0 0
  4  7  3 13  5  1 14  8  2  9 10 11  0 12 15  6 , 0 0 1 0
  4  7  3 13  5  1 14  8  2  9 10 11 12  0 15  6 , 0 0 0 1
  4  7  3 13  5  1 14  8  2  0 10 11 12  9 15  6 , 1 0 0 0
  4  7  3 13  5  1 14  8  0  2 10 11 12  9 15  6 , 0 0 0 1
  4  7  3 13  0  1 14  8  5  2 10 11 12  9 15  6 , 0 0 1 0
  4  7  3 13  1  0 14  8  5  2 10 11 12  9 15  6 , 0 1 0 0
  4  7  3 13  1  2 14  8  5  0 10 11 12  9 15  6 , 0 0 1 0
  4  7  3 13  1  2 14  8  5 10  0 11 12  9 15  6 , 0 0 0 1
  4  7  3 13  1  2  0  8  5 10 14 11 12  9 15  6 , 0 0 1 0
  4  7  3 13  1  2  8  0  5 10 14 11 12  9 15  6 , 0 0 0 1
  4  7  3  0  1  2  8 13  5 10 14 11 12  9 15  6 , 1 0 0 0
  4  7  0  3  1  2  8 13  5 10 14 11 12  9 15  6 , 1 0 0 0
  4  0  7  3  1  2  8 13  5 10 14 11 12  9 15  6 , 0 1 0 0
  4  2  7  3  1  0  8 13  5 10 14 11 12  9 15  6 , 0 0 1 0
  4  2  7  3  1  8  0 13  5 10 14 11 12  9 15  6 , 0 0 1 0
  4  2  7  3  1  8 13  0  5 10 14 11 12  9 15  6 , 0 1 0 0
  4  2  7  3  1  8 13 11  5 10 14  0 12  9 15  6 , 0 1 0 0
  4  2  7  3  1  8 13 11  5 10 14  6 12  9 15  0 , 1 0 0 0
  4  2  7  3  1  8 13 11  5 10 14  6 12  9  0 15 , 0 0 0 1
  4  2  7  3  1  8 13 11  5 10  0  6 12  9 14 15 , 1 0 0 0
  4  2  7  3  1  8 13 11  5  0 10  6 12  9 14 15 , 0 0 0 1
  4  2  7  3  1  0 13 11  5  8 10  6 12  9 14 15 , 1 0 0 0
  4  2  7  3  0  1 13 11  5  8 10  6 12  9 14 15 , 0 1 0 0
  4  2  7  3  5  1 13 11  0  8 10  6 12  9 14 15 , 0 0 1 0
  4  2  7  3  5  1 13 11  8  0 10  6 12  9 14 15 , 0 1 0 0
  4  2  7  3  5  1 13 11  8  9 10  6 12  0 14 15 , 0 0 1 0
  4  2  7  3  5  1 13 11  8  9 10  6 12 14  0 15 , 0 0 0 1
  4  2  7  3  5  1 13 11  8  9  0  6 12 14 10 15 , 0 0 0 1
  4  2  7  3  5  1  0 11  8  9 13  6 12 14 10 15 , 0 0 0 1
  4  2  0  3  5  1  7 11  8  9 13  6 12 14 10 15 , 1 0 0 0
  4  0  2  3  5  1  7 11  8  9 13  6 12 14 10 15 , 0 1 0 0
  4  1  2  3  5  0  7 11  8  9 13  6 12 14 10 15 , 0 1 0 0
  4  1  2  3  5  9  7 11  8  0 13  6 12 14 10 15 , 0 0 1 0
  4  1  2  3  5  9  7 11  8 13  0  6 12 14 10 15 , 0 0 1 0
  4  1  2  3  5  9  7 11  8 13  6  0 12 14 10 15 , 0 0 0 1
  4  1  2  3  5  9  7  0  8 13  6 11 12 14 10 15 , 1 0 0 0
  4  1  2  3  5  9  0  7  8 13  6 11 12 14 10 15 , 0 1 0 0
  4  1  2  3  5  9  6  7  8 13  0 11 12 14 10 15 , 0 1 0 0
  4  1  2  3  5  9  6  7  8 13 10 11 12 14  0 15 , 1 0 0 0
  4  1  2  3  5  9  6  7  8 13 10 11 12  0 14 15 , 0 0 0 1
  4  1  2  3  5  9  6  7  8  0 10 11 12 13 14 15 , 0 0 0 1
  4  1  2  3  5  0  6  7  8  9 10 11 12 13 14 15 , 1 0 0 0
  4  1  2  3  0  5  6  7  8  9 10 11 12 13 14 15 , 0 0 0 1
